RegionName,Date,ZHVIPerSqft_AllHomes,StateCode
Alabama,2017-12-31,76.0,AL
Alaska,2017-12-31,185.0,AK
Arizona,2017-12-31,140.0,AZ
Arkansas,2017-12-31,79.0,AR
California,2017-12-31,343.0,CA
Colorado,2017-12-31,217.0,CO
Connecticut,2017-12-31,155.0,CT
Delaware,2017-12-31,154.0,DE
DistrictofColumbia,2017-12-31,494.0,DC
Florida,2017-12-31,137.0,FL
Georgia,2017-12-31,93.0,GA
Hawaii,2017-12-31,489.0,HI
Idaho,2017-12-31,123.0,ID
Illinois,2017-12-31,133.0,IL
Indiana,2017-12-31,82.0,IN
Iowa,2017-12-31,111.0,IA
Kansas,2017-12-31,142.0,KS
Kentucky,2017-12-31,99.0,KY
Louisiana,2017-12-31,98.0,LA
Maine,2017-12-31,168.0,ME
Maryland,2017-12-31,177.0,MD
Massachusetts,2017-12-31,240.0,MA
Michigan,2017-12-31,107.0,MI
Minnesota,2017-12-31,170.0,MN
Mississippi,2017-12-31,73.0,MS
Missouri,2017-12-31,106.0,MO
Montana,2017-12-31,164.0,MT
Nebraska,2017-12-31,114.0,NE
Nevada,2017-12-31,149.0,NV
NewHampshire,2017-12-31,154.0,NH
NewJersey,2017-12-31,184.0,NJ
NewMexico,2017-12-31,99.0,NM
NewYork,2017-12-31,144.0,NY
NorthCarolina,2017-12-31,105.0,NC
NorthDakota,2017-12-31,179.0,ND
Ohio,2017-12-31,89.0,OH
Oklahoma,2017-12-31,80.0,OK
Oregon,2017-12-31,204.0,OR
Pennsylvania,2017-12-31,118.0,PA
RhodeIsland,2017-12-31,190.0,RI
SouthCarolina,2017-12-31,97.0,SC
SouthDakota,2017-12-31,146.0,SD
Tennessee,2017-12-31,95.0,TN
Texas,2017-12-31,99.0,TX
Utah,2017-12-31,179.0,UT
Vermont,2017-12-31,159.0,VT
Virginia,2017-12-31,147.0,VA
Washington,2017-12-31,212.0,WA
WestVirginia,2017-12-31,74.0,WV
Wisconsin,2017-12-31,116.0,WI
Wyoming,2017-12-31,152.0,WY
