FIPS,CountyName,StateName,StateCode
1001,Autauga,Alabama,AL
1003,Baldwin,Alabama,AL
1009,Blount,Alabama,AL
1017,Chambers,Alabama,AL
1033,Colbert,Alabama,AL
1049,De Kalb,Alabama,AL
1051,Elmore,Alabama,AL
1055,Etowah,Alabama,AL
1069,Houston,Alabama,AL
1073,Jefferson,Alabama,AL
1077,Lauderdale,Alabama,AL
1081,Lee,Alabama,AL
1097,Mobile,Alabama,AL
1101,Montgomery,Alabama,AL
1113,Russell,Alabama,AL
1115,Saint Clair,Alabama,AL
1117,Shelby,Alabama,AL
1123,Tallapoosa,Alabama,AL
1125,Tuscaloosa,Alabama,AL
2020,Anchorage,Alaska,AK
2090,Fairbanks North Star,Alaska,AK
2110,Juneau,Alaska,AK
2130,Ketchikan Gateway,Alaska,AK
2170,Matanuska Susitna,Alaska,AK
4001,Apache,Arizona,AZ
4003,Cochise,Arizona,AZ
4005,Coconino,Arizona,AZ
4007,Gila,Arizona,AZ
4009,Graham,Arizona,AZ
4012,La Paz,Arizona,AZ
4013,Maricopa,Arizona,AZ
4015,Mohave,Arizona,AZ
4017,Navajo,Arizona,AZ
4019,Pima,Arizona,AZ
4021,Pinal,Arizona,AZ
4023,Santa Cruz,Arizona,AZ
4025,Yavapai,Arizona,AZ
4027,Yuma,Arizona,AZ
5005,Baxter,Arkansas,AR
5007,Benton,Arkansas,AR
5009,Boone,Arkansas,AR
5023,Cleburne,Arkansas,AR
5031,Craighead,Arkansas,AR
5033,Crawford,Arkansas,AR
5035,Crittenden,Arkansas,AR
5045,Faulkner,Arkansas,AR
5051,Garland,Arkansas,AR
5055,Greene,Arkansas,AR
5059,Hot Spring,Arkansas,AR
5063,Independence,Arkansas,AR
5065,Izard,Arkansas,AR
5069,Jefferson,Arkansas,AR
5085,Lonoke,Arkansas,AR
5091,Miller,Arkansas,AR
5113,Polk,Arkansas,AR
5115,Pope,Arkansas,AR
5119,Pulaski,Arkansas,AR
5125,Saline,Arkansas,AR
5131,Sebastian,Arkansas,AR
5141,Van Buren,Arkansas,AR
5143,Washington,Arkansas,AR
5145,White,Arkansas,AR
6001,Alameda,California,CA
6005,Amador,California,CA
6007,Butte,California,CA
6009,Calaveras,California,CA
6011,Colusa,California,CA
6013,Contra Costa,California,CA
6015,Del Norte,California,CA
6017,El Dorado,California,CA
6019,Fresno,California,CA
6021,Glenn,California,CA
6023,Humboldt,California,CA
6025,Imperial,California,CA
6029,Kern,California,CA
6031,Kings,California,CA
6033,Lake,California,CA
6035,Lassen,California,CA
6037,Los Angeles,California,CA
6039,Madera,California,CA
6041,Marin,California,CA
6043,Mariposa,California,CA
6045,Mendocino,California,CA
6051,Mono,California,CA
6053,Monterey,California,CA
6055,Napa,California,CA
6057,Nevada,California,CA
6059,Orange,California,CA
6061,Placer,California,CA
6063,Plumas,California,CA
6065,Riverside,California,CA
6067,Sacramento,California,CA
6069,San Benito,California,CA
6071,San Bernardino,California,CA
6073,San Diego,California,CA
6075,San Francisco,California,CA
