Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,1001,82.0,Alabama,AL
2017-12-31,1003,107.0,Alabama,AL
2017-12-31,1009,86.0,Alabama,AL
2017-12-31,1017,42.0,Alabama,AL
2017-12-31,1033,62.0,Alabama,AL
2017-12-31,1049,63.0,Alabama,AL
2017-12-31,1051,87.0,Alabama,AL
2017-12-31,1055,54.0,Alabama,AL
2017-12-31,1069,83.0,Alabama,AL
2017-12-31,1073,76.0,Alabama,AL
2017-12-31,1077,74.0,Alabama,AL
2017-12-31,1081,90.0,Alabama,AL
2017-12-31,1097,71.0,Alabama,AL
2017-12-31,1101,53.0,Alabama,AL
2017-12-31,1113,57.0,Alabama,AL
2017-12-31,1115,100.0,Alabama,AL
2017-12-31,1117,136.0,Alabama,AL
2017-12-31,1123,73.0,Alabama,AL
2017-12-31,1125,92.0,Alabama,AL
