Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,5005,79.0,Arkansas,AR
2017-12-31,5007,101.0,Arkansas,AR
2017-12-31,5009,73.0,Arkansas,AR
2017-12-31,5023,87.0,Arkansas,AR
2017-12-31,5031,80.0,Arkansas,AR
2017-12-31,5033,72.0,Arkansas,AR
2017-12-31,5035,76.0,Arkansas,AR
2017-12-31,5045,89.0,Arkansas,AR
2017-12-31,5051,84.0,Arkansas,AR
2017-12-31,5055,71.0,Arkansas,AR
2017-12-31,5059,68.0,Arkansas,AR
2017-12-31,5063,64.0,Arkansas,AR
2017-12-31,5065,57.0,Arkansas,AR
2017-12-31,5069,51.0,Arkansas,AR
2017-12-31,5085,87.0,Arkansas,AR
2017-12-31,5091,76.0,Arkansas,AR
2017-12-31,5113,63.0,Arkansas,AR
2017-12-31,5115,77.0,Arkansas,AR
2017-12-31,5119,78.0,Arkansas,AR
2017-12-31,5125,91.0,Arkansas,AR
2017-12-31,5131,75.0,Arkansas,AR
2017-12-31,5141,68.0,Arkansas,AR
2017-12-31,5143,103.0,Arkansas,AR
2017-12-31,5145,71.0,Arkansas,AR
