Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,8001,221.0,Colorado,CO
2017-12-31,8003,101.0,Colorado,CO
2017-12-31,8005,229.0,Colorado,CO
2017-12-31,8007,165.0,Colorado,CO
2017-12-31,8013,284.0,Colorado,CO
2017-12-31,8014,237.0,Colorado,CO
2017-12-31,8015,226.0,Colorado,CO
2017-12-31,8019,235.0,Colorado,CO
2017-12-31,8029,126.0,Colorado,CO
2017-12-31,8031,332.0,Colorado,CO
2017-12-31,8035,225.0,Colorado,CO
2017-12-31,8037,423.0,Colorado,CO
2017-12-31,8039,262.0,Colorado,CO
2017-12-31,8041,143.0,Colorado,CO
2017-12-31,8045,244.0,Colorado,CO
2017-12-31,8047,214.0,Colorado,CO
2017-12-31,8049,290.0,Colorado,CO
2017-12-31,8059,250.0,Colorado,CO
2017-12-31,8065,176.0,Colorado,CO
2017-12-31,8067,234.0,Colorado,CO
2017-12-31,8069,204.0,Colorado,CO
2017-12-31,8075,105.0,Colorado,CO
2017-12-31,8077,149.0,Colorado,CO
2017-12-31,8083,141.0,Colorado,CO
2017-12-31,8085,143.0,Colorado,CO
2017-12-31,8089,62.0,Colorado,CO
2017-12-31,8091,204.0,Colorado,CO
2017-12-31,8093,194.0,Colorado,CO
2017-12-31,8097,832.0,Colorado,CO
2017-12-31,8101,121.0,Colorado,CO
2017-12-31,8105,95.0,Colorado,CO
2017-12-31,8107,318.0,Colorado,CO
2017-12-31,8113,488.0,Colorado,CO
2017-12-31,8119,149.0,Colorado,CO
2017-12-31,8123,171.0,Colorado,CO
