Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,13009,67.0,Georgia,GA
2017-12-31,13011,88.0,Georgia,GA
2017-12-31,13013,94.0,Georgia,GA
2017-12-31,13015,98.0,Georgia,GA
2017-12-31,13021,62.0,Georgia,GA
2017-12-31,13029,110.0,Georgia,GA
2017-12-31,13031,77.0,Georgia,GA
2017-12-31,13033,51.0,Georgia,GA
2017-12-31,13035,77.0,Georgia,GA
2017-12-31,13037,36.0,Georgia,GA
2017-12-31,13039,95.0,Georgia,GA
2017-12-31,13045,82.0,Georgia,GA
2017-12-31,13047,92.0,Georgia,GA
2017-12-31,13051,103.0,Georgia,GA
2017-12-31,13055,59.0,Georgia,GA
2017-12-31,13057,119.0,Georgia,GA
2017-12-31,13059,93.0,Georgia,GA
2017-12-31,13063,65.0,Georgia,GA
2017-12-31,13067,119.0,Georgia,GA
2017-12-31,13069,60.0,Georgia,GA
2017-12-31,13071,55.0,Georgia,GA
2017-12-31,13073,92.0,Georgia,GA
2017-12-31,13077,105.0,Georgia,GA
2017-12-31,13083,72.0,Georgia,GA
2017-12-31,13085,111.0,Georgia,GA
2017-12-31,13087,66.0,Georgia,GA
2017-12-31,13089,98.0,Georgia,GA
2017-12-31,13095,49.0,Georgia,GA
2017-12-31,13097,85.0,Georgia,GA
2017-12-31,13103,101.0,Georgia,GA
2017-12-31,13105,51.0,Georgia,GA
2017-12-31,13113,117.0,Georgia,GA
2017-12-31,13115,76.0,Georgia,GA
2017-12-31,13117,125.0,Georgia,GA
2017-12-31,13119,70.0,Georgia,GA
2017-12-31,13121,141.0,Georgia,GA
2017-12-31,13123,111.0,Georgia,GA
2017-12-31,13127,104.0,Georgia,GA
2017-12-31,13129,81.0,Georgia,GA
2017-12-31,13135,106.0,Georgia,GA
2017-12-31,13137,91.0,Georgia,GA
2017-12-31,13139,107.0,Georgia,GA
2017-12-31,13143,68.0,Georgia,GA
2017-12-31,13145,99.0,Georgia,GA
2017-12-31,13147,81.0,Georgia,GA
2017-12-31,13151,82.0,Georgia,GA
2017-12-31,13153,73.0,Georgia,GA
2017-12-31,13159,79.0,Georgia,GA
2017-12-31,13169,67.0,Georgia,GA
2017-12-31,13171,69.0,Georgia,GA
2017-12-31,13175,58.0,Georgia,GA
2017-12-31,13177,82.0,Georgia,GA
2017-12-31,13179,77.0,Georgia,GA
2017-12-31,13183,65.0,Georgia,GA
2017-12-31,13185,74.0,Georgia,GA
2017-12-31,13187,111.0,Georgia,GA
2017-12-31,13195,73.0,Georgia,GA
2017-12-31,13199,59.0,Georgia,GA
2017-12-31,13211,113.0,Georgia,GA
2017-12-31,13213,78.0,Georgia,GA
2017-12-31,13215,64.0,Georgia,GA
2017-12-31,13217,79.0,Georgia,GA
2017-12-31,13219,122.0,Georgia,GA
2017-12-31,13221,82.0,Georgia,GA
2017-12-31,13225,66.0,Georgia,GA
2017-12-31,13227,111.0,Georgia,GA
2017-12-31,13231,90.0,Georgia,GA
2017-12-31,13233,60.0,Georgia,GA
2017-12-31,13247,76.0,Georgia,GA
2017-12-31,13255,65.0,Georgia,GA
2017-12-31,13257,65.0,Georgia,GA
2017-12-31,13261,49.0,Georgia,GA
2017-12-31,13275,73.0,Georgia,GA
2017-12-31,13277,74.0,Georgia,GA
2017-12-31,13281,109.0,Georgia,GA
2017-12-31,13285,69.0,Georgia,GA
2017-12-31,13291,130.0,Georgia,GA
2017-12-31,13293,49.0,Georgia,GA
2017-12-31,13295,68.0,Georgia,GA
2017-12-31,13297,96.0,Georgia,GA
2017-12-31,13299,47.0,Georgia,GA
2017-12-31,13301,37.0,Georgia,GA
2017-12-31,13305,67.0,Georgia,GA
2017-12-31,13311,100.0,Georgia,GA
2017-12-31,13313,82.0,Georgia,GA
