Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,19011,88.0,Iowa,IA
2017-12-31,19013,100.0,Iowa,IA
2017-12-31,19015,95.0,Iowa,IA
2017-12-31,19017,104.0,Iowa,IA
2017-12-31,19021,78.0,Iowa,IA
2017-12-31,19041,93.0,Iowa,IA
2017-12-31,19045,70.0,Iowa,IA
2017-12-31,19049,140.0,Iowa,IA
2017-12-31,19057,71.0,Iowa,IA
2017-12-31,19061,97.0,Iowa,IA
2017-12-31,19095,100.0,Iowa,IA
2017-12-31,19099,100.0,Iowa,IA
2017-12-31,19103,153.0,Iowa,IA
2017-12-31,19113,126.0,Iowa,IA
2017-12-31,19123,86.0,Iowa,IA
2017-12-31,19127,50.0,Iowa,IA
2017-12-31,19129,159.0,Iowa,IA
2017-12-31,19139,93.0,Iowa,IA
2017-12-31,19153,131.0,Iowa,IA
2017-12-31,19155,92.0,Iowa,IA
2017-12-31,19163,121.0,Iowa,IA
2017-12-31,19167,109.0,Iowa,IA
2017-12-31,19169,140.0,Iowa,IA
2017-12-31,19179,69.0,Iowa,IA
2017-12-31,19183,96.0,Iowa,IA
2017-12-31,19187,77.0,Iowa,IA
2017-12-31,19193,98.0,Iowa,IA
