Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,17001,78.0,Illinois,IL
2017-12-31,17007,89.0,Illinois,IL
2017-12-31,17015,49.0,Illinois,IL
2017-12-31,17019,93.0,Illinois,IL
2017-12-31,17021,69.0,Illinois,IL
2017-12-31,17027,81.0,Illinois,IL
2017-12-31,17029,57.0,Illinois,IL
2017-12-31,17031,166.0,Illinois,IL
2017-12-31,17037,94.0,Illinois,IL
2017-12-31,17043,172.0,Illinois,IL
2017-12-31,17049,94.0,Illinois,IL
2017-12-31,17053,59.0,Illinois,IL
2017-12-31,17057,67.0,Illinois,IL
2017-12-31,17063,117.0,Illinois,IL
2017-12-31,17073,77.0,Illinois,IL
2017-12-31,17077,64.0,Illinois,IL
2017-12-31,17081,52.0,Illinois,IL
2017-12-31,17083,86.0,Illinois,IL
2017-12-31,17085,83.0,Illinois,IL
2017-12-31,17089,120.0,Illinois,IL
2017-12-31,17091,79.0,Illinois,IL
2017-12-31,17093,108.0,Illinois,IL
2017-12-31,17095,59.0,Illinois,IL
2017-12-31,17097,135.0,Illinois,IL
2017-12-31,17099,76.0,Illinois,IL
2017-12-31,17105,65.0,Illinois,IL
2017-12-31,17109,67.0,Illinois,IL
2017-12-31,17111,121.0,Illinois,IL
2017-12-31,17113,96.0,Illinois,IL
2017-12-31,17115,61.0,Illinois,IL
2017-12-31,17117,50.0,Illinois,IL
2017-12-31,17119,80.0,Illinois,IL
2017-12-31,17137,74.0,Illinois,IL
2017-12-31,17143,75.0,Illinois,IL
2017-12-31,17161,80.0,Illinois,IL
2017-12-31,17163,84.0,Illinois,IL
2017-12-31,17167,73.0,Illinois,IL
2017-12-31,17179,85.0,Illinois,IL
2017-12-31,17195,63.0,Illinois,IL
2017-12-31,17197,119.0,Illinois,IL
2017-12-31,17199,67.0,Illinois,IL
2017-12-31,17201,70.0,Illinois,IL
2017-12-31,17203,107.0,Illinois,IL
