Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,18001,69.0,Indiana,IN
2017-12-31,18003,73.0,Indiana,IN
2017-12-31,18005,96.0,Indiana,IN
2017-12-31,18007,49.0,Indiana,IN
2017-12-31,18009,43.0,Indiana,IN
2017-12-31,18011,106.0,Indiana,IN
2017-12-31,18013,121.0,Indiana,IN
2017-12-31,18015,71.0,Indiana,IN
2017-12-31,18017,58.0,Indiana,IN
2017-12-31,18019,90.0,Indiana,IN
2017-12-31,18021,65.0,Indiana,IN
2017-12-31,18023,65.0,Indiana,IN
2017-12-31,18025,60.0,Indiana,IN
2017-12-31,18027,75.0,Indiana,IN
2017-12-31,18029,97.0,Indiana,IN
2017-12-31,18031,84.0,Indiana,IN
2017-12-31,18033,82.0,Indiana,IN
2017-12-31,18037,91.0,Indiana,IN
2017-12-31,18039,90.0,Indiana,IN
2017-12-31,18041,52.0,Indiana,IN
2017-12-31,18043,101.0,Indiana,IN
2017-12-31,18045,57.0,Indiana,IN
2017-12-31,18047,83.0,Indiana,IN
2017-12-31,18049,66.0,Indiana,IN
2017-12-31,18051,74.0,Indiana,IN
2017-12-31,18053,58.0,Indiana,IN
2017-12-31,18057,105.0,Indiana,IN
2017-12-31,18059,88.0,Indiana,IN
2017-12-31,18061,89.0,Indiana,IN
2017-12-31,18063,97.0,Indiana,IN
2017-12-31,18065,60.0,Indiana,IN
2017-12-31,18067,63.0,Indiana,IN
2017-12-31,18069,60.0,Indiana,IN
2017-12-31,18071,80.0,Indiana,IN
2017-12-31,18073,94.0,Indiana,IN
2017-12-31,18075,52.0,Indiana,IN
2017-12-31,18077,74.0,Indiana,IN
2017-12-31,18079,72.0,Indiana,IN
2017-12-31,18081,90.0,Indiana,IN
2017-12-31,18083,60.0,Indiana,IN
2017-12-31,18085,100.0,Indiana,IN
2017-12-31,18087,96.0,Indiana,IN
2017-12-31,18089,90.0,Indiana,IN
2017-12-31,18093,66.0,Indiana,IN
2017-12-31,18095,61.0,Indiana,IN
2017-12-31,18097,77.0,Indiana,IN
2017-12-31,18099,82.0,Indiana,IN
2017-12-31,18101,55.0,Indiana,IN
2017-12-31,18103,54.0,Indiana,IN
2017-12-31,18105,114.0,Indiana,IN
2017-12-31,18107,72.0,Indiana,IN
2017-12-31,18109,93.0,Indiana,IN
2017-12-31,18111,68.0,Indiana,IN
2017-12-31,18113,82.0,Indiana,IN
2017-12-31,18117,64.0,Indiana,IN
2017-12-31,18119,73.0,Indiana,IN
2017-12-31,18121,58.0,Indiana,IN
2017-12-31,18123,76.0,Indiana,IN
2017-12-31,18125,57.0,Indiana,IN
2017-12-31,18127,106.0,Indiana,IN
2017-12-31,18129,81.0,Indiana,IN
2017-12-31,18131,61.0,Indiana,IN
2017-12-31,18133,84.0,Indiana,IN
2017-12-31,18135,49.0,Indiana,IN
2017-12-31,18137,84.0,Indiana,IN
2017-12-31,18139,64.0,Indiana,IN
2017-12-31,18143,71.0,Indiana,IN
2017-12-31,18145,75.0,Indiana,IN
2017-12-31,18147,69.0,Indiana,IN
2017-12-31,18149,71.0,Indiana,IN
2017-12-31,18151,102.0,Indiana,IN
2017-12-31,18153,53.0,Indiana,IN
2017-12-31,18155,71.0,Indiana,IN
2017-12-31,18157,87.0,Indiana,IN
2017-12-31,18159,65.0,Indiana,IN
2017-12-31,18161,56.0,Indiana,IN
2017-12-31,18163,79.0,Indiana,IN
2017-12-31,18165,53.0,Indiana,IN
2017-12-31,18167,59.0,Indiana,IN
2017-12-31,18169,61.0,Indiana,IN
2017-12-31,18171,55.0,Indiana,IN
2017-12-31,18173,88.0,Indiana,IN
2017-12-31,18175,71.0,Indiana,IN
2017-12-31,18177,63.0,Indiana,IN
2017-12-31,18179,75.0,Indiana,IN
2017-12-31,18181,77.0,Indiana,IN
2017-12-31,18183,84.0,Indiana,IN
