Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,20001,50.0,Kansas,KS
2017-12-31,20003,49.0,Kansas,KS
2017-12-31,20005,59.0,Kansas,KS
2017-12-31,20007,49.0,Kansas,KS
2017-12-31,20009,69.0,Kansas,KS
2017-12-31,20013,55.0,Kansas,KS
2017-12-31,20015,68.0,Kansas,KS
2017-12-31,20019,40.0,Kansas,KS
2017-12-31,20021,47.0,Kansas,KS
2017-12-31,20023,61.0,Kansas,KS
2017-12-31,20025,50.0,Kansas,KS
2017-12-31,20027,66.0,Kansas,KS
2017-12-31,20029,50.0,Kansas,KS
2017-12-31,20031,67.0,Kansas,KS
2017-12-31,20033,45.0,Kansas,KS
2017-12-31,20035,49.0,Kansas,KS
2017-12-31,20037,52.0,Kansas,KS
2017-12-31,20039,57.0,Kansas,KS
2017-12-31,20041,70.0,Kansas,KS
2017-12-31,20043,69.0,Kansas,KS
2017-12-31,20045,120.0,Kansas,KS
2017-12-31,20047,44.0,Kansas,KS
2017-12-31,20049,41.0,Kansas,KS
2017-12-31,20051,90.0,Kansas,KS
2017-12-31,20053,55.0,Kansas,KS
2017-12-31,20055,124.0,Kansas,KS
2017-12-31,20057,90.0,Kansas,KS
2017-12-31,20059,78.0,Kansas,KS
2017-12-31,20061,95.0,Kansas,KS
2017-12-31,20069,72.0,Kansas,KS
2017-12-31,20073,49.0,Kansas,KS
2017-12-31,20077,49.0,Kansas,KS
2017-12-31,20079,74.0,Kansas,KS
2017-12-31,20081,73.0,Kansas,KS
2017-12-31,20085,71.0,Kansas,KS
2017-12-31,20087,84.0,Kansas,KS
2017-12-31,20089,48.0,Kansas,KS
2017-12-31,20091,139.0,Kansas,KS
2017-12-31,20093,70.0,Kansas,KS
2017-12-31,20095,59.0,Kansas,KS
2017-12-31,20097,67.0,Kansas,KS
2017-12-31,20099,35.0,Kansas,KS
2017-12-31,20103,106.0,Kansas,KS
2017-12-31,20105,50.0,Kansas,KS
2017-12-31,20107,56.0,Kansas,KS
2017-12-31,20113,89.0,Kansas,KS
2017-12-31,20117,58.0,Kansas,KS
2017-12-31,20119,54.0,Kansas,KS
2017-12-31,20121,124.0,Kansas,KS
2017-12-31,20123,57.0,Kansas,KS
2017-12-31,20127,64.0,Kansas,KS
2017-12-31,20131,63.0,Kansas,KS
2017-12-31,20133,43.0,Kansas,KS
2017-12-31,20139,62.0,Kansas,KS
2017-12-31,20141,53.0,Kansas,KS
2017-12-31,20143,64.0,Kansas,KS
2017-12-31,20145,54.0,Kansas,KS
2017-12-31,20149,120.0,Kansas,KS
2017-12-31,20151,62.0,Kansas,KS
2017-12-31,20155,64.0,Kansas,KS
2017-12-31,20157,50.0,Kansas,KS
2017-12-31,20159,49.0,Kansas,KS
2017-12-31,20161,123.0,Kansas,KS
2017-12-31,20163,54.0,Kansas,KS
2017-12-31,20165,50.0,Kansas,KS
2017-12-31,20167,52.0,Kansas,KS
2017-12-31,20169,92.0,Kansas,KS
2017-12-31,20173,97.0,Kansas,KS
2017-12-31,20175,81.0,Kansas,KS
2017-12-31,20177,80.0,Kansas,KS
2017-12-31,20181,64.0,Kansas,KS
2017-12-31,20183,51.0,Kansas,KS
2017-12-31,20185,46.0,Kansas,KS
2017-12-31,20189,69.0,Kansas,KS
2017-12-31,20191,53.0,Kansas,KS
2017-12-31,20193,76.0,Kansas,KS
2017-12-31,20197,81.0,Kansas,KS
2017-12-31,20205,46.0,Kansas,KS
2017-12-31,20207,44.0,Kansas,KS
2017-12-31,20209,78.0,Kansas,KS
