Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,29013,68.0,Missouri,MO
2017-12-31,29019,93.0,Missouri,MO
2017-12-31,29027,79.0,Missouri,MO
2017-12-31,29029,98.0,Missouri,MO
2017-12-31,29037,117.0,Missouri,MO
2017-12-31,29047,113.0,Missouri,MO
2017-12-31,29051,88.0,Missouri,MO
2017-12-31,29055,89.0,Missouri,MO
2017-12-31,29069,56.0,Missouri,MO
2017-12-31,29071,103.0,Missouri,MO
2017-12-31,29077,80.0,Missouri,MO
2017-12-31,29095,91.0,Missouri,MO
2017-12-31,29097,63.0,Missouri,MO
2017-12-31,29099,128.0,Missouri,MO
2017-12-31,29101,80.0,Missouri,MO
2017-12-31,29113,123.0,Missouri,MO
2017-12-31,29117,76.0,Missouri,MO
2017-12-31,29121,60.0,Missouri,MO
2017-12-31,29157,97.0,Missouri,MO
2017-12-31,29161,84.0,Missouri,MO
2017-12-31,29175,62.0,Missouri,MO
2017-12-31,29183,129.0,Missouri,MO
2017-12-31,29185,105.0,Missouri,MO
2017-12-31,29187,63.0,Missouri,MO
2017-12-31,29189,122.0,Missouri,MO
2017-12-31,29201,74.0,Missouri,MO
2017-12-31,29213,95.0,Missouri,MO
2017-12-31,29221,86.0,Missouri,MO
2017-12-31,29225,67.0,Missouri,MO
2017-12-31,29510,114.0,Missouri,MO
