Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,30001,122.0,Montana,MT
2017-12-31,30003,196.0,Montana,MT
2017-12-31,30005,152.0,Montana,MT
2017-12-31,30009,162.0,Montana,MT
2017-12-31,30013,141.0,Montana,MT
2017-12-31,30015,159.0,Montana,MT
2017-12-31,30017,130.0,Montana,MT
2017-12-31,30021,160.0,Montana,MT
2017-12-31,30035,177.0,Montana,MT
2017-12-31,30041,149.0,Montana,MT
2017-12-31,30043,124.0,Montana,MT
2017-12-31,30053,100.0,Montana,MT
2017-12-31,30057,167.0,Montana,MT
2017-12-31,30063,207.0,Montana,MT
2017-12-31,30067,182.0,Montana,MT
2017-12-31,30073,169.0,Montana,MT
2017-12-31,30077,198.0,Montana,MT
2017-12-31,30081,151.0,Montana,MT
2017-12-31,30087,157.0,Montana,MT
2017-12-31,30089,91.0,Montana,MT
2017-12-31,30093,107.0,Montana,MT
2017-12-31,30095,138.0,Montana,MT
2017-12-31,30097,163.0,Montana,MT
2017-12-31,30105,146.0,Montana,MT
2017-12-31,30111,168.0,Montana,MT
