Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,37001,92.0,North Carolina,NC
2017-12-31,37003,96.0,North Carolina,NC
2017-12-31,37007,47.0,North Carolina,NC
2017-12-31,37019,135.0,North Carolina,NC
2017-12-31,37021,176.0,North Carolina,NC
2017-12-31,37025,109.0,North Carolina,NC
2017-12-31,37027,74.0,North Carolina,NC
2017-12-31,37031,147.0,North Carolina,NC
2017-12-31,37035,91.0,North Carolina,NC
2017-12-31,37037,143.0,North Carolina,NC
2017-12-31,37039,92.0,North Carolina,NC
2017-12-31,37045,73.0,North Carolina,NC
2017-12-31,37049,92.0,North Carolina,NC
2017-12-31,37051,79.0,North Carolina,NC
2017-12-31,37053,135.0,North Carolina,NC
2017-12-31,37055,158.0,North Carolina,NC
2017-12-31,37057,86.0,North Carolina,NC
2017-12-31,37059,90.0,North Carolina,NC
2017-12-31,37061,60.0,North Carolina,NC
2017-12-31,37063,119.0,North Carolina,NC
2017-12-31,37065,43.0,North Carolina,NC
2017-12-31,37067,85.0,North Carolina,NC
2017-12-31,37069,105.0,North Carolina,NC
2017-12-31,37071,91.0,North Carolina,NC
2017-12-31,37077,97.0,North Carolina,NC
2017-12-31,37081,91.0,North Carolina,NC
2017-12-31,37083,55.0,North Carolina,NC
2017-12-31,37085,92.0,North Carolina,NC
2017-12-31,37087,128.0,North Carolina,NC
2017-12-31,37089,138.0,North Carolina,NC
2017-12-31,37093,91.0,North Carolina,NC
2017-12-31,37097,105.0,North Carolina,NC
2017-12-31,37099,120.0,North Carolina,NC
2017-12-31,37101,106.0,North Carolina,NC
2017-12-31,37105,81.0,North Carolina,NC
2017-12-31,37107,54.0,North Carolina,NC
2017-12-31,37109,101.0,North Carolina,NC
2017-12-31,37111,76.0,North Carolina,NC
2017-12-31,37113,88.0,North Carolina,NC
2017-12-31,37119,121.0,North Carolina,NC
2017-12-31,37125,115.0,North Carolina,NC
2017-12-31,37127,74.0,North Carolina,NC
2017-12-31,37129,136.0,North Carolina,NC
2017-12-31,37133,90.0,North Carolina,NC
2017-12-31,37135,156.0,North Carolina,NC
2017-12-31,37145,89.0,North Carolina,NC
2017-12-31,37147,78.0,North Carolina,NC
2017-12-31,37149,132.0,North Carolina,NC
2017-12-31,37151,81.0,North Carolina,NC
2017-12-31,37155,56.0,North Carolina,NC
2017-12-31,37157,70.0,North Carolina,NC
2017-12-31,37159,88.0,North Carolina,NC
2017-12-31,37167,81.0,North Carolina,NC
2017-12-31,37169,83.0,North Carolina,NC
2017-12-31,37171,44.0,North Carolina,NC
2017-12-31,37179,117.0,North Carolina,NC
2017-12-31,37181,68.0,North Carolina,NC
2017-12-31,37183,136.0,North Carolina,NC
2017-12-31,37189,144.0,North Carolina,NC
2017-12-31,37191,57.0,North Carolina,NC
2017-12-31,37195,75.0,North Carolina,NC
