Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,31011,92.0,Nebraska,NE
2017-12-31,31025,121.0,Nebraska,NE
2017-12-31,31047,79.0,Nebraska,NE
2017-12-31,31053,104.0,Nebraska,NE
2017-12-31,31055,118.0,Nebraska,NE
2017-12-31,31067,85.0,Nebraska,NE
2017-12-31,31079,123.0,Nebraska,NE
2017-12-31,31097,60.0,Nebraska,NE
2017-12-31,31105,62.0,Nebraska,NE
2017-12-31,31107,61.0,Nebraska,NE
2017-12-31,31109,137.0,Nebraska,NE
2017-12-31,31111,97.0,Nebraska,NE
2017-12-31,31119,122.0,Nebraska,NE
2017-12-31,31131,91.0,Nebraska,NE
2017-12-31,31153,102.0,Nebraska,NE
2017-12-31,31157,98.0,Nebraska,NE
2017-12-31,31159,115.0,Nebraska,NE
2017-12-31,31177,127.0,Nebraska,NE
