Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,36001,145.0,New York,NY
2017-12-31,36003,41.0,New York,NY
2017-12-31,36005,254.0,New York,NY
2017-12-31,36007,74.0,New York,NY
2017-12-31,36009,53.0,New York,NY
2017-12-31,36011,77.0,New York,NY
2017-12-31,36013,62.0,New York,NY
2017-12-31,36015,70.0,New York,NY
2017-12-31,36017,59.0,New York,NY
2017-12-31,36019,88.0,New York,NY
2017-12-31,36021,144.0,New York,NY
2017-12-31,36023,80.0,New York,NY
2017-12-31,36025,87.0,New York,NY
2017-12-31,36027,166.0,New York,NY
2017-12-31,36029,112.0,New York,NY
2017-12-31,36031,123.0,New York,NY
2017-12-31,36033,65.0,New York,NY
2017-12-31,36035,82.0,New York,NY
2017-12-31,36037,78.0,New York,NY
2017-12-31,36039,111.0,New York,NY
2017-12-31,36041,122.0,New York,NY
2017-12-31,36043,67.0,New York,NY
2017-12-31,36045,91.0,New York,NY
2017-12-31,36049,71.0,New York,NY
2017-12-31,36051,87.0,New York,NY
2017-12-31,36053,89.0,New York,NY
2017-12-31,36055,102.0,New York,NY
2017-12-31,36057,71.0,New York,NY
2017-12-31,36059,330.0,New York,NY
2017-12-31,36061,1443.0,New York,NY
2017-12-31,36063,94.0,New York,NY
2017-12-31,36065,84.0,New York,NY
2017-12-31,36067,93.0,New York,NY
2017-12-31,36069,106.0,New York,NY
2017-12-31,36071,146.0,New York,NY
2017-12-31,36073,62.0,New York,NY
2017-12-31,36075,68.0,New York,NY
2017-12-31,36077,83.0,New York,NY
2017-12-31,36079,210.0,New York,NY
2017-12-31,36081,456.0,New York,NY
2017-12-31,36083,122.0,New York,NY
2017-12-31,36085,334.0,New York,NY
2017-12-31,36087,249.0,New York,NY
2017-12-31,36089,59.0,New York,NY
2017-12-31,36091,154.0,New York,NY
2017-12-31,36093,112.0,New York,NY
2017-12-31,36095,85.0,New York,NY
2017-12-31,36099,75.0,New York,NY
2017-12-31,36101,63.0,New York,NY
2017-12-31,36103,326.0,New York,NY
2017-12-31,36105,90.0,New York,NY
2017-12-31,36107,74.0,New York,NY
2017-12-31,36109,141.0,New York,NY
2017-12-31,36111,138.0,New York,NY
2017-12-31,36113,133.0,New York,NY
2017-12-31,36115,93.0,New York,NY
2017-12-31,36117,81.0,New York,NY
2017-12-31,36119,325.0,New York,NY
2017-12-31,36121,66.0,New York,NY
2017-12-31,36123,98.0,New York,NY
