Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,39001,55.0,Ohio,OH
2017-12-31,39003,67.0,Ohio,OH
2017-12-31,39005,86.0,Ohio,OH
2017-12-31,39007,65.0,Ohio,OH
2017-12-31,39011,84.0,Ohio,OH
2017-12-31,39013,74.0,Ohio,OH
2017-12-31,39015,64.0,Ohio,OH
2017-12-31,39017,101.0,Ohio,OH
2017-12-31,39019,80.0,Ohio,OH
2017-12-31,39021,82.0,Ohio,OH
2017-12-31,39023,77.0,Ohio,OH
2017-12-31,39025,110.0,Ohio,OH
2017-12-31,39029,72.0,Ohio,OH
2017-12-31,39031,65.0,Ohio,OH
2017-12-31,39033,66.0,Ohio,OH
2017-12-31,39035,85.0,Ohio,OH
2017-12-31,39037,75.0,Ohio,OH
2017-12-31,39039,72.0,Ohio,OH
2017-12-31,39041,134.0,Ohio,OH
2017-12-31,39043,87.0,Ohio,OH
2017-12-31,39045,109.0,Ohio,OH
2017-12-31,39047,76.0,Ohio,OH
2017-12-31,39049,111.0,Ohio,OH
2017-12-31,39051,88.0,Ohio,OH
2017-12-31,39055,113.0,Ohio,OH
2017-12-31,39057,96.0,Ohio,OH
2017-12-31,39059,82.0,Ohio,OH
2017-12-31,39061,98.0,Ohio,OH
2017-12-31,39063,88.0,Ohio,OH
2017-12-31,39065,52.0,Ohio,OH
2017-12-31,39069,55.0,Ohio,OH
2017-12-31,39071,67.0,Ohio,OH
2017-12-31,39073,60.0,Ohio,OH
2017-12-31,39083,98.0,Ohio,OH
2017-12-31,39085,94.0,Ohio,OH
2017-12-31,39087,73.0,Ohio,OH
2017-12-31,39089,100.0,Ohio,OH
2017-12-31,39091,85.0,Ohio,OH
2017-12-31,39093,88.0,Ohio,OH
2017-12-31,39095,71.0,Ohio,OH
2017-12-31,39097,107.0,Ohio,OH
2017-12-31,39099,60.0,Ohio,OH
2017-12-31,39101,65.0,Ohio,OH
2017-12-31,39103,114.0,Ohio,OH
2017-12-31,39107,95.0,Ohio,OH
2017-12-31,39109,91.0,Ohio,OH
2017-12-31,39113,76.0,Ohio,OH
2017-12-31,39117,94.0,Ohio,OH
2017-12-31,39119,83.0,Ohio,OH
2017-12-31,39123,108.0,Ohio,OH
2017-12-31,39127,79.0,Ohio,OH
2017-12-31,39129,100.0,Ohio,OH
2017-12-31,39133,97.0,Ohio,OH
2017-12-31,39135,82.0,Ohio,OH
2017-12-31,39137,87.0,Ohio,OH
2017-12-31,39139,68.0,Ohio,OH
2017-12-31,39141,80.0,Ohio,OH
2017-12-31,39143,72.0,Ohio,OH
2017-12-31,39145,70.0,Ohio,OH
2017-12-31,39147,68.0,Ohio,OH
2017-12-31,39149,80.0,Ohio,OH
2017-12-31,39153,91.0,Ohio,OH
2017-12-31,39155,64.0,Ohio,OH
2017-12-31,39157,83.0,Ohio,OH
2017-12-31,39159,123.0,Ohio,OH
2017-12-31,39161,59.0,Ohio,OH
2017-12-31,39165,108.0,Ohio,OH
2017-12-31,39167,91.0,Ohio,OH
2017-12-31,39169,101.0,Ohio,OH
2017-12-31,39171,67.0,Ohio,OH
2017-12-31,39173,96.0,Ohio,OH
