Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,40003,53.0,Oklahoma,OK
2017-12-31,40009,69.0,Oklahoma,OK
2017-12-31,40013,78.0,Oklahoma,OK
2017-12-31,40017,93.0,Oklahoma,OK
2017-12-31,40019,71.0,Oklahoma,OK
2017-12-31,40021,71.0,Oklahoma,OK
2017-12-31,40027,95.0,Oklahoma,OK
2017-12-31,40037,80.0,Oklahoma,OK
2017-12-31,40039,85.0,Oklahoma,OK
2017-12-31,40041,87.0,Oklahoma,OK
2017-12-31,40047,79.0,Oklahoma,OK
2017-12-31,40049,61.0,Oklahoma,OK
2017-12-31,40051,75.0,Oklahoma,OK
2017-12-31,40053,64.0,Oklahoma,OK
2017-12-31,40055,46.0,Oklahoma,OK
2017-12-31,40065,55.0,Oklahoma,OK
2017-12-31,40071,55.0,Oklahoma,OK
2017-12-31,40079,61.0,Oklahoma,OK
2017-12-31,40081,75.0,Oklahoma,OK
2017-12-31,40083,92.0,Oklahoma,OK
2017-12-31,40087,99.0,Oklahoma,OK
2017-12-31,40089,56.0,Oklahoma,OK
2017-12-31,40091,69.0,Oklahoma,OK
2017-12-31,40095,69.0,Oklahoma,OK
2017-12-31,40097,78.0,Oklahoma,OK
2017-12-31,40101,58.0,Oklahoma,OK
2017-12-31,40109,85.0,Oklahoma,OK
2017-12-31,40111,51.0,Oklahoma,OK
2017-12-31,40113,71.0,Oklahoma,OK
2017-12-31,40115,55.0,Oklahoma,OK
2017-12-31,40119,89.0,Oklahoma,OK
2017-12-31,40121,70.0,Oklahoma,OK
2017-12-31,40123,76.0,Oklahoma,OK
2017-12-31,40125,76.0,Oklahoma,OK
2017-12-31,40131,81.0,Oklahoma,OK
2017-12-31,40133,49.0,Oklahoma,OK
2017-12-31,40135,62.0,Oklahoma,OK
2017-12-31,40137,50.0,Oklahoma,OK
2017-12-31,40143,84.0,Oklahoma,OK
2017-12-31,40145,85.0,Oklahoma,OK
2017-12-31,40147,66.0,Oklahoma,OK
2017-12-31,40153,79.0,Oklahoma,OK
