Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,41003,197.0,Oregon,OR
2017-12-31,41005,229.0,Oregon,OR
2017-12-31,41007,182.0,Oregon,OR
2017-12-31,41009,175.0,Oregon,OR
2017-12-31,41011,139.0,Oregon,OR
2017-12-31,41013,163.0,Oregon,OR
2017-12-31,41015,193.0,Oregon,OR
2017-12-31,41017,219.0,Oregon,OR
2017-12-31,41019,133.0,Oregon,OR
2017-12-31,41027,245.0,Oregon,OR
2017-12-31,41029,174.0,Oregon,OR
2017-12-31,41033,174.0,Oregon,OR
2017-12-31,41035,106.0,Oregon,OR
2017-12-31,41039,184.0,Oregon,OR
2017-12-31,41041,185.0,Oregon,OR
2017-12-31,41043,160.0,Oregon,OR
2017-12-31,41045,82.0,Oregon,OR
2017-12-31,41047,174.0,Oregon,OR
2017-12-31,41051,307.0,Oregon,OR
2017-12-31,41053,160.0,Oregon,OR
2017-12-31,41057,190.0,Oregon,OR
2017-12-31,41059,116.0,Oregon,OR
2017-12-31,41061,109.0,Oregon,OR
2017-12-31,41067,229.0,Oregon,OR
2017-12-31,41071,188.0,Oregon,OR
