Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,42001,124.0,Pennsylvania,PA
2017-12-31,42003,106.0,Pennsylvania,PA
2017-12-31,42005,73.0,Pennsylvania,PA
2017-12-31,42007,105.0,Pennsylvania,PA
2017-12-31,42009,85.0,Pennsylvania,PA
2017-12-31,42011,106.0,Pennsylvania,PA
2017-12-31,42013,65.0,Pennsylvania,PA
2017-12-31,42017,171.0,Pennsylvania,PA
2017-12-31,42019,125.0,Pennsylvania,PA
2017-12-31,42021,50.0,Pennsylvania,PA
2017-12-31,42025,88.0,Pennsylvania,PA
2017-12-31,42027,143.0,Pennsylvania,PA
2017-12-31,42029,161.0,Pennsylvania,PA
2017-12-31,42033,51.0,Pennsylvania,PA
2017-12-31,42035,90.0,Pennsylvania,PA
2017-12-31,42037,88.0,Pennsylvania,PA
2017-12-31,42041,117.0,Pennsylvania,PA
2017-12-31,42043,105.0,Pennsylvania,PA
2017-12-31,42045,126.0,Pennsylvania,PA
2017-12-31,42049,86.0,Pennsylvania,PA
2017-12-31,42051,89.0,Pennsylvania,PA
2017-12-31,42055,97.0,Pennsylvania,PA
2017-12-31,42061,80.0,Pennsylvania,PA
2017-12-31,42063,85.0,Pennsylvania,PA
2017-12-31,42065,104.0,Pennsylvania,PA
2017-12-31,42067,131.0,Pennsylvania,PA
2017-12-31,42069,68.0,Pennsylvania,PA
2017-12-31,42071,131.0,Pennsylvania,PA
2017-12-31,42073,61.0,Pennsylvania,PA
2017-12-31,42075,112.0,Pennsylvania,PA
2017-12-31,42077,123.0,Pennsylvania,PA
2017-12-31,42079,63.0,Pennsylvania,PA
2017-12-31,42081,100.0,Pennsylvania,PA
2017-12-31,42083,47.0,Pennsylvania,PA
2017-12-31,42085,71.0,Pennsylvania,PA
2017-12-31,42089,90.0,Pennsylvania,PA
2017-12-31,42091,158.0,Pennsylvania,PA
2017-12-31,42095,125.0,Pennsylvania,PA
2017-12-31,42097,59.0,Pennsylvania,PA
2017-12-31,42099,101.0,Pennsylvania,PA
2017-12-31,42101,110.0,Pennsylvania,PA
2017-12-31,42103,79.0,Pennsylvania,PA
2017-12-31,42107,49.0,Pennsylvania,PA
2017-12-31,42111,59.0,Pennsylvania,PA
2017-12-31,42117,80.0,Pennsylvania,PA
2017-12-31,42121,54.0,Pennsylvania,PA
2017-12-31,42125,103.0,Pennsylvania,PA
2017-12-31,42127,107.0,Pennsylvania,PA
2017-12-31,42129,107.0,Pennsylvania,PA
2017-12-31,42133,114.0,Pennsylvania,PA
