Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,45003,77.0,South Carolina,SC
2017-12-31,45007,82.0,South Carolina,SC
2017-12-31,45013,169.0,South Carolina,SC
2017-12-31,45015,118.0,South Carolina,SC
2017-12-31,45019,189.0,South Carolina,SC
2017-12-31,45021,56.0,South Carolina,SC
2017-12-31,45027,67.0,South Carolina,SC
2017-12-31,45029,78.0,South Carolina,SC
2017-12-31,45031,68.0,South Carolina,SC
2017-12-31,45035,113.0,South Carolina,SC
2017-12-31,45037,76.0,South Carolina,SC
2017-12-31,45041,82.0,South Carolina,SC
2017-12-31,45043,129.0,South Carolina,SC
2017-12-31,45045,103.0,South Carolina,SC
2017-12-31,45051,112.0,South Carolina,SC
2017-12-31,45055,82.0,South Carolina,SC
2017-12-31,45057,94.0,South Carolina,SC
2017-12-31,45063,85.0,South Carolina,SC
2017-12-31,45073,101.0,South Carolina,SC
2017-12-31,45075,64.0,South Carolina,SC
2017-12-31,45077,97.0,South Carolina,SC
2017-12-31,45079,79.0,South Carolina,SC
2017-12-31,45083,84.0,South Carolina,SC
2017-12-31,45085,71.0,South Carolina,SC
2017-12-31,45091,111.0,South Carolina,SC
