Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,47001,84.0,Tennessee,TN
2017-12-31,47003,100.0,Tennessee,TN
2017-12-31,47005,54.0,Tennessee,TN
2017-12-31,47009,103.0,Tennessee,TN
2017-12-31,47011,91.0,Tennessee,TN
2017-12-31,47013,78.0,Tennessee,TN
2017-12-31,47015,98.0,Tennessee,TN
2017-12-31,47017,48.0,Tennessee,TN
2017-12-31,47019,80.0,Tennessee,TN
2017-12-31,47021,128.0,Tennessee,TN
2017-12-31,47023,65.0,Tennessee,TN
2017-12-31,47031,85.0,Tennessee,TN
2017-12-31,47033,56.0,Tennessee,TN
2017-12-31,47035,84.0,Tennessee,TN
2017-12-31,47037,150.0,Tennessee,TN
2017-12-31,47041,81.0,Tennessee,TN
2017-12-31,47043,105.0,Tennessee,TN
2017-12-31,47045,53.0,Tennessee,TN
2017-12-31,47047,96.0,Tennessee,TN
2017-12-31,47049,80.0,Tennessee,TN
2017-12-31,47051,82.0,Tennessee,TN
2017-12-31,47053,45.0,Tennessee,TN
2017-12-31,47055,76.0,Tennessee,TN
2017-12-31,47057,80.0,Tennessee,TN
2017-12-31,47059,72.0,Tennessee,TN
2017-12-31,47061,53.0,Tennessee,TN
2017-12-31,47063,79.0,Tennessee,TN
2017-12-31,47065,87.0,Tennessee,TN
2017-12-31,47071,67.0,Tennessee,TN
2017-12-31,47073,79.0,Tennessee,TN
2017-12-31,47077,62.0,Tennessee,TN
2017-12-31,47079,59.0,Tennessee,TN
2017-12-31,47081,85.0,Tennessee,TN
2017-12-31,47083,59.0,Tennessee,TN
2017-12-31,47085,69.0,Tennessee,TN
2017-12-31,47087,66.0,Tennessee,TN
2017-12-31,47089,88.0,Tennessee,TN
2017-12-31,47093,108.0,Tennessee,TN
2017-12-31,47097,49.0,Tennessee,TN
2017-12-31,47099,61.0,Tennessee,TN
2017-12-31,47101,52.0,Tennessee,TN
2017-12-31,47103,69.0,Tennessee,TN
2017-12-31,47105,107.0,Tennessee,TN
2017-12-31,47107,74.0,Tennessee,TN
2017-12-31,47109,54.0,Tennessee,TN
2017-12-31,47111,77.0,Tennessee,TN
2017-12-31,47113,64.0,Tennessee,TN
2017-12-31,47115,80.0,Tennessee,TN
2017-12-31,47117,98.0,Tennessee,TN
2017-12-31,47119,114.0,Tennessee,TN
2017-12-31,47125,93.0,Tennessee,TN
2017-12-31,47127,88.0,Tennessee,TN
2017-12-31,47129,68.0,Tennessee,TN
2017-12-31,47131,43.0,Tennessee,TN
2017-12-31,47133,67.0,Tennessee,TN
2017-12-31,47141,89.0,Tennessee,TN
2017-12-31,47143,80.0,Tennessee,TN
2017-12-31,47145,79.0,Tennessee,TN
2017-12-31,47147,116.0,Tennessee,TN
2017-12-31,47149,128.0,Tennessee,TN
2017-12-31,47153,68.0,Tennessee,TN
2017-12-31,47155,117.0,Tennessee,TN
2017-12-31,47157,72.0,Tennessee,TN
2017-12-31,47159,85.0,Tennessee,TN
2017-12-31,47161,70.0,Tennessee,TN
2017-12-31,47163,78.0,Tennessee,TN
2017-12-31,47165,122.0,Tennessee,TN
2017-12-31,47167,73.0,Tennessee,TN
2017-12-31,47169,91.0,Tennessee,TN
2017-12-31,47171,72.0,Tennessee,TN
2017-12-31,47177,69.0,Tennessee,TN
2017-12-31,47179,90.0,Tennessee,TN
2017-12-31,47183,52.0,Tennessee,TN
2017-12-31,47185,79.0,Tennessee,TN
2017-12-31,47187,173.0,Tennessee,TN
2017-12-31,47189,133.0,Tennessee,TN
