Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,51003,180.0,Virginia,VA
2017-12-31,51009,114.0,Virginia,VA
2017-12-31,51013,465.0,Virginia,VA
2017-12-31,51015,129.0,Virginia,VA
2017-12-31,51019,121.0,Virginia,VA
2017-12-31,51023,121.0,Virginia,VA
2017-12-31,51031,93.0,Virginia,VA
2017-12-31,51033,135.0,Virginia,VA
2017-12-31,51041,120.0,Virginia,VA
2017-12-31,51047,146.0,Virginia,VA
2017-12-31,51057,107.0,Virginia,VA
2017-12-31,51059,288.0,Virginia,VA
2017-12-31,51061,194.0,Virginia,VA
2017-12-31,51065,125.0,Virginia,VA
2017-12-31,51067,116.0,Virginia,VA
2017-12-31,51069,143.0,Virginia,VA
2017-12-31,51073,128.0,Virginia,VA
2017-12-31,51075,152.0,Virginia,VA
2017-12-31,51079,146.0,Virginia,VA
2017-12-31,51083,64.0,Virginia,VA
2017-12-31,51085,140.0,Virginia,VA
2017-12-31,51087,133.0,Virginia,VA
2017-12-31,51089,62.0,Virginia,VA
2017-12-31,51093,126.0,Virginia,VA
2017-12-31,51095,145.0,Virginia,VA
2017-12-31,51099,151.0,Virginia,VA
2017-12-31,51103,135.0,Virginia,VA
2017-12-31,51107,221.0,Virginia,VA
2017-12-31,51109,134.0,Virginia,VA
2017-12-31,51111,73.0,Virginia,VA
2017-12-31,51119,141.0,Virginia,VA
2017-12-31,51121,115.0,Virginia,VA
2017-12-31,51125,130.0,Virginia,VA
2017-12-31,51127,132.0,Virginia,VA
2017-12-31,51137,129.0,Virginia,VA
2017-12-31,51143,79.0,Virginia,VA
2017-12-31,51145,137.0,Virginia,VA
2017-12-31,51153,198.0,Virginia,VA
2017-12-31,51155,81.0,Virginia,VA
2017-12-31,51161,123.0,Virginia,VA
2017-12-31,51165,114.0,Virginia,VA
2017-12-31,51169,70.0,Virginia,VA
2017-12-31,51171,125.0,Virginia,VA
2017-12-31,51177,151.0,Virginia,VA
2017-12-31,51179,139.0,Virginia,VA
2017-12-31,51185,64.0,Virginia,VA
2017-12-31,51187,157.0,Virginia,VA
2017-12-31,51191,92.0,Virginia,VA
2017-12-31,51199,143.0,Virginia,VA
2017-12-31,51520,74.0,Virginia,VA
2017-12-31,51540,223.0,Virginia,VA
2017-12-31,51550,133.0,Virginia,VA
2017-12-31,51570,98.0,Virginia,VA
2017-12-31,51590,47.0,Virginia,VA
2017-12-31,51600,270.0,Virginia,VA
2017-12-31,51610,421.0,Virginia,VA
2017-12-31,51620,67.0,Virginia,VA
2017-12-31,51630,150.0,Virginia,VA
2017-12-31,51650,110.0,Virginia,VA
2017-12-31,51670,78.0,Virginia,VA
2017-12-31,51680,82.0,Virginia,VA
2017-12-31,51685,193.0,Virginia,VA
2017-12-31,51700,114.0,Virginia,VA
2017-12-31,51710,127.0,Virginia,VA
2017-12-31,51735,146.0,Virginia,VA
2017-12-31,51740,108.0,Virginia,VA
2017-12-31,51760,135.0,Virginia,VA
2017-12-31,51770,93.0,Virginia,VA
2017-12-31,51775,115.0,Virginia,VA
2017-12-31,51790,112.0,Virginia,VA
2017-12-31,51800,122.0,Virginia,VA
2017-12-31,51810,150.0,Virginia,VA
2017-12-31,51820,110.0,Virginia,VA
2017-12-31,51830,154.0,Virginia,VA
2017-12-31,51840,145.0,Virginia,VA
