Date,FIPS,ZHVIPerSqft_AllHomes,StateName,StateCode
2017-12-31,56001,167.0,Wyoming,WY
2017-12-31,56005,149.0,Wyoming,WY
2017-12-31,56007,133.0,Wyoming,WY
2017-12-31,56009,157.0,Wyoming,WY
2017-12-31,56013,137.0,Wyoming,WY
2017-12-31,56015,121.0,Wyoming,WY
2017-12-31,56017,157.0,Wyoming,WY
2017-12-31,56021,166.0,Wyoming,WY
2017-12-31,56023,131.0,Wyoming,WY
2017-12-31,56025,150.0,Wyoming,WY
2017-12-31,56031,124.0,Wyoming,WY
2017-12-31,56033,158.0,Wyoming,WY
2017-12-31,56041,114.0,Wyoming,WY
2017-12-31,56043,112.0,Wyoming,WY
2017-12-31,56045,186.0,Wyoming,WY
